Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
26221,108,9,104,ABP Alt Empordà - Roses,agost,52,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
22194,17,0,132,ABP Alt Empordà - Roses,desembre,16,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,735,13,156,ABP Alt Empordà - Roses,desembre,77,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,948,86,156,ABP Alt Empordà - Roses,desembre,109,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,303,9,156,ABP Alt Empordà - Roses,desembre,18,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,41,10,156,ABP Alt Empordà - Roses,desembre,19,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24201,60,4,144,ABP Alt Empordà - Roses,desembre,32,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26225,24,0,26,ABP Alt Empordà - Roses,febrer,17,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,706,25,28,ABP Alt Empordà - Roses,febrer,84,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,908,83,28,ABP Alt Empordà - Roses,febrer,111,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,348,19,28,ABP Alt Empordà - Roses,febrer,15,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
28245,47,14,28,ABP Alt Empordà - Roses,febrer,15,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
